id,long,lat
SantaCruz_N,-90.4008,-0.48265
SantaCruz_S,-90.3262,-0.79817
SantaCruz_E,-90.16396,-0.64489
SantaCruz_W,-90.55856,-0.64
SantaFe_N,-90.08161,-0.72153
SantaFe_S,-90.08161,-0.87725
SantaFe_E,-90.00171,-0.80061
SantaFe_W,-90.15907,-0.7998
Floreana_N,-90.48029,-1.20174
Floreana_S,-90.40365,-1.36154
Floreana_E,-90.32376,-1.28082
Floreana_W,-90.56019,-1.28164
Espanola_N,-89.68212,-1.28816
Espanola_S,-89.67723,-1.44225
Espanola_E,-89.59733,-1.36317
Espanola_W,-89.76039,-1.36317
SanCristobal_N,-89.35926,-0.64163
SanCristobal_S,-89.52069,-0.96041
SanCristobal_E,-89.28426,-0.87562
SanCristobal_W,-89.68171,-0.87848
Pinzon,-90.66455,-0.61106
Santiago_N,-90.72121,-0.08173
Santiago_S,-90.71958,-0.3948
Santiago_E,-90.56141,-0.23827
Santiago_W,-90.87612,-0.24316
Genovesa,-89.9581,0.32714
Marchena_N,-90.47662,0.39889
Marchena_S,-90.47581,0.2399
Marchena_E,-90.32416,0.3198
Marchena_W,-90.55815,0.31899
Pinta_N,-90.72121,0.64021
Pinta_S,-90.71958,0.48449
Pinta_E,-90.64213,0.56031
Pinta_W,-90.80274,0.5595
Isabela_N,-91.36285,0.24072
Isabela_S,-91.20142,-1.12571
Isabela_E1,-90.79785,-0.88602
Isabela_E2,-90.87775,-0.48489
Isabela_E3,-91.11744,-0.08051
Isabela_W1,-91.52183,-0.88602
Isabela_W2,-91.2854,-0.47674
Isabela_W3,-91.60499,-0.00224
Fernandina_N,-91.5202,-0.24357
Fernandina_S,-91.52265,-0.56398
Fernandina_E,-91.36122,-0.39847
Fernandina_W,-91.68081,-0.39929
