,long,lat
Espanola_N,-89.6831,-1.2804
Espanola_S,-89.6811,-1.4436
Espanola_W,-89.7621,-1.36
Espanola_E,-89.6002,-1.3594
SanCristobal_N,-89.5186,-0.7227
SanCristobal_S,-89.3605,-0.8806
SanCristobal_W,-89.6802,-0.8803
SanCristobal_E,-89.2007,-0.7164
Floreana_N,-90.4772,-1.2016
Floreana_S,-90.4772,-1.3602
Floreana_W,-90.5628,-1.2806
Floreana_E,-90.3186,-1.2826
SantaFe_N,-90.0821,-0.7192
SantaFe_S,-90.1654,-0.8794
SantaFe_W,-90.1654,-0.801
SantaFe_E,-90.0024,-0.7967
SantaCruz_N,-90.4006,-0.481
SantaCruz_S,-90.4056,-0.7985
SantaCruz_W,-90.5609,-0.6392
SantaCruz_E,-90.1607,-0.6412
Santiago_N,-90.8022,-0.0793
Santiago_S,-90.7221,-0.3964
Santiago_W,-90.8814,-0.2391
Santiago_E,-90.5629,-0.2398
Isabela_N,-91.3618,-0.241
Isabela_S,-91.2052,-1.12
Isabela_W1,-91.4432,-0.1575
Isabela_W2,-91.203,-0.5646
Isabela_W3,-91.5232,-0.9558
Isabela_E1,-90.7991,-0.799
Isabela_E2,-90.9636,-0.3985
Isabela_E3,-91.2024,-0.0015
Marchena_N,-90.4829,0.4013
Marchena_S,-90.4805,0.2367
Marchena_W,-90.561,0.3215
Marchena_E,-90.3238,0.3219
Pinta_N,-90.7218,0.6408
Pinta_S,-90.7221,0.4799
Pinta_W,-90.8021,0.5648
Pinta_E,-90.6461,0.5635
Genovesa,-89.9545,0.2969
Pinzon,-90.6707,-0.5854
Fernandina_N,-91.5174,-0.2412
Fernandina_S,-91.525,0.5604
Fernandina_W,-90.5596,-1.2782
Fernandina_E,-90.32,-1.2816
