"","Island","Flora","Currents","Geographic.space","Island.age","Island.area"
"1","Galapagos","Littoral",0.550663020783714,0.623954569011201,0.595366077809428,0.380727328819383
"2","Galapagos","Non-littoral",0.493139487686567,0.537124971923486,0.360132253470506,0.404198990156211
"3","Galapagos","Thalassochorous",0.550663020783714,0.623954569011201,0.595366077809428,0.380727328819383
"4","Galapagos","Non-thalassochorous",0.531685709990077,0.567998693204675,0.360132253470506,0.404198990156211
"5","Canaries","Littoral",0.339793338967392,0.381340654543408,0.280491125999538,0.174417203233865
"6","Canaries","Non-littoral",0.375729935573412,0.426754966711812,0.227390742067017,0.0551629644393265
"7","Canaries","Thalassochorous",0.865433333870605,0.880794151029575,0.280491125999538,0.174417203233865
"8","Canaries","Non-thalassochorous",0.86713942671743,0.838354376771972,0.227390742067017,0.0551629644393265
"9","Azores","Littoral",0.148242423614629,0.175191403846272,0.20419189686455,0.109687127475481
"10","Azores","Non-littoral",0.335839492261996,0.432342688156842,0.215297875168778,0.264832424675758
"11","Azores","Thalassochorous",0.146304868374514,0.159407141571829,0.20419189686455,0.109687127475481
"12","Azores","Non-thalassochorous",0.375122128104155,0.425585514985701,0.215297875168778,0.264832424675758
